from,to,cost
50206,50474,1.58260562373209
50206,50108,2.04834831483222
50206,50334,1.70017642188565
50207,50090,0.469078086932682
50207,50147,3.46158575513942
50207,50156,3.89601048857297
50207,50186,0.339267017818893
50207,51175,0.467741827065453
50208,50208,11.88597264719162
50208,50295,6.479171013669544
50208,50011,6.76300748230324
50208,50163,5.8498436928084
50208,50199,0.237449209008992
50209,50034,1.43225628294596
50209,50020,1.42686614861722
50209,50402,5.55982352197481
50210,50096,2.19626164561554
50210,50121,0.755078309916589
50210,50460,3.92156822950076
50211,50339,3.056836064420212
50211,50211,1.011009161896924
50211,50004,1.382699155093162
50211,50013,1.80868223126115
50212,50314,2.85812076810325
50212,50287,2.94187801743976
50213,50346,3.34819331400991
50213,50165,0.853915982665715
50213,50074,1.43854696842262
50214,50594,0.437194031509254
50214,50223,0.125
50214,50301,1.17741443450102
50214,50029,2.62544222410873
50215,50304,3.958676673046819
50215,50080,2.161949247719409
50215,50346,1.49950116332318
50215,50140,3.74440545433693
50215,50215,1.808013143614538
50216,50644,0.311422274005816
50216,50642,0.42715672845566
50216,50380,3.40134890938894
50217,50195,5.48174257200951
50217,50678,0.478699485529756
50218,50130,4.71366706014567
50219,50076,1.70614902439922
50219,50023,4.48691952242771
50220,50465,0.800350761265274
50220,50289,2.23332667260832
50221,50427,1.3784068111394
50221,50148,0.746487723437373
50222,50385,0.660772031097037
50222,50148,2.32256047298871
50223,50204,2.12827853209003
50223,50214,0.125
50223,50590,0.461482011110883
50223,50599,0.399792722650289
50224,50289,0.333428680317567
50224,50229,0.509746417361533
50225,50225,4.14101391639614
50225,50454,0.544352631690725
50225,50024,2.87483741105333
50225,50026,3.7012088325669
50225,50139,6.88247012217509
50225,50719,0.813296022174142
50226,50049,3.40220075947303
50226,50358,3.03732441043245
50227,50466,3.36197272063548
50227,50389,5.09095716120389
50228,50420,1.52007548838043
50228,50743,2.21577127903851
50228,50116,3.31812867495196
50228,50287,1.29760326418465
50229,50224,0.509746417361533
50230,50515,0.690018374568365
50230,50456,2.81378405232539
50230,50281,0.851284006768677
50230,50538,3.06815595472035
50230,50107,4.26560619302218
50230,50492,2.10673060681472
50230,50319,7.73490141430721
50231,50252,4.13497391369229
50231,50061,5.97555529261097
50232,50160,3.4539799019225
50232,50411,12.653501049767389
50232,51172,2.695165420365496
50232,50101,11.881063198708416
50232,50759,0.442679504405345
50232,50232,1.893731573527836
50232,50409,3.38665473313335
50232,50235,13.026526163487407
50232,50303,1.709990529107948
50232,50415,14.366869127747258
50233,50064,2.23413785758173
50233,50396,0.664390057967627
50233,50333,0.969305236038679
50234,50461,0.973118819474836
50234,50462,0.113129263241693
50235,51170,2.929082333573597
50235,50235,0.414790634577094
50235,51172,10.363376717170015
50235,50101,0.495687330462442
50235,50232,13.026526163487407
50235,50185,1.01369031660315
50235,50330,0.584563492456578
50235,50411,5.738811241171375
50235,50098,2.41273667932947
50235,50238,1.90549172539355
50235,50415,1.17400630552676
50236,50424,0.572567560096072
50236,50182,1.99527439919678
50237,50241,1.776261265904558
50237,50307,0.7293045600122681
50237,50308,1.1299193980878
50237,50237,0.786876421281376
50238,50185,2.12628007843575
50238,50235,2.2663074127665
50238,50125,4.57882924599665
50239,50068,3.19930854584399
50239,50398,3.44778327253216
50240,50240,0.372995958654386
50240,50160,5.946112319967815
50240,50147,1.32360979798604
50240,50180,2.953632758416282
50240,50133,2.15792481672693
50241,50241,2.76564611052774
50241,50307,0.335621214378033
50241,50292,3.57471420284984
50241,50237,1.776261265904558
50241,50183,0.845785811284338
50242,50337,4.72256646627213
50242,50115,3.65671445575536
50242,50461,2.0232421931711
50242,50057,5.15782166620119
50243,50636,0.557136355964643
50243,50165,0.585523353720976
50243,50046,1.65178050208944
50243,50094,2.08740002111376
50244,50321,1.81562187574724
50244,50194,0.811510201157216
50245,50400,0.949611470539071
50245,50169,0.706272249962131
50246,50404,3.26680495897635
50246,50380,0.609854998987365
50247,50280,1.36358196070576
50247,50146,4.36366096639656
50248,50744,5.92413094508119
50248,50360,5.31547144000604
50248,50005,6.55484656413031
50248,50111,3.02786230301588
50249,50160,3.36627991743356
50249,50147,1.88555753622232
50249,50180,2.8989786485405
50249,50421,6.846258508146743
50249,50409,6.293907902813836
50249,50249,1.612644584184718
50249,51172,6.661763207150626
50250,50176,1.09561398713151
50250,50264,1.25841390434439
50250,50482,4.19326288039426
50250,50483,4.20426298000389
50250,50040,0.531166257362106
50250,50716,2.88623383854786
50250,50031,0.911878719292784
50251,50251,1.398122515181708
50251,50395,1.269112316651081
50251,50309,0.6000126707778171
50251,50414,5.44373737886103
50251,50127,1.39024291425746
50252,50088,4.06671422096726
50252,50121,6.07463820549815
50252,50231,4.13497391369229
50253,50338,2.11568391654591
50253,50347,6.92240872254915
50253,50126,7.75168515815024
50254,50432,0.59256824253753
